SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
GRANULES,109.95,107.2,107.6,109.3,111,108.25,106.55,105.5,-0.600461894,SELL,984059,106455045.1,108.6,107.25
GOKEX,109,101.1,106.05,109.6666667,113.2833333,105.3833333,101.7666667,97.48333333,0.632611102,BUY,928138,98022711.35,107.05,104.3833333
TVSELECT,552,524.15,547.15,558.05,568.95,541.1,530.2,513.25,1.118092774,BUY,897137,486540353.2,548.15,540.1
CANFINHOME,444.95,435.3,437.55,443.2333333,448.9166667,439.2666667,433.5833333,429.6166667,-0.390802853,SKIP,885298,389422549.2,438.55,438.2666667
ADANITRANS,169.8,166.35,168.05,169.7833333,171.5166667,168.0666667,166.3333333,164.6166667,-0.0099167,SKIP,848090,142206214.1,169.05,167.0666667
MIDHANI,162,153.05,154.15,159.75,165.35,156.4,150.8,147.45,-1.438618926,SELL,806955,126058915.5,155.15,155.4
PHILIPCARB,250,241.9,244.8,249.2333333,253.6666667,245.5666667,241.1333333,237.4666667,-0.312203068,SKIP,780622,191998171.7,245.8,244.5666667
COFFEEDAY,338.4,326,332.65,338.7,344.75,332.35,326.3,319.95,0.090266286,SKIP,776840,258630708.6,333.65,331.35
PARAGMILK,314.9,296.45,310.55,318.15,325.75,307.3,299.7,288.85,1.057598438,BUY,774664,236927170.7,311.55,306.3
PIONDIST,261.35,220.1,261.35,275.1,288.85,247.6,233.85,206.35,5.553311793,SKIP,770885,196582610.1,262.35,246.6
HAVELLS,547.4,537.5,545,549.1,553.2,543.3,539.2,533.4,0.312902632,SKIP,709321,384462202.8,546,542.3
GRAPHITE,684.4,665,670.15,681.3666667,692.5833333,673.1833333,661.9666667,653.7833333,-0.45059543,SKIP,699151,469486710.9,671.15,672.1833333
VGUARD,238.65,232.9,237.8,240,242.2,236.45,234.25,230.7,0.570945232,SKIP,695964,164198642.3,238.8,235.45
NCLIND,255.8,229.3,244.3,256.9666667,269.6333333,243.1333333,230.4666667,216.6333333,0.479846449,SKIP,668681,159776596,245.3,242.1333333
KEC,412.2,391,404.15,413.9,423.65,402.45,392.7,381.25,0.422412722,SKIP,658637,265303752.6,405.15,401.45
