,RQ_1_2_PAT_PChg,RQ_1_2_Operating_Profit_PChg,RQ_1_2_Total_Exp_PChg,RQ_1_2_Ebit_PChg,RQ_1_2_Ebitda_PChg,RQ_1_2_Close_PChg,RQ_2_3_PAT_PChg,RQ_2_3_Operating_Profit_PChg,RQ_2_3_Total_Exp_PChg,RQ_2_3_Ebit_PChg,RQ_2_3_Ebitda_PChg,RQ_2_3_Close_PChg,RQ_3_4_PAT_PChg,RQ_3_4_Operating_Profit_PChg,RQ_3_4_Total_Exp_PChg,RQ_3_4_Ebit_PChg,RQ_3_4_Ebitda_PChg,RQ_3_4_Close_PChg,RQ_4_5_PAT_PChg,RQ_4_5_Operating_Profit_PChg,RQ_4_5_Total_Exp_PChg,RQ_4_5_Ebit_PChg,RQ_4_5_Ebitda_PChg,RQ_4_5_Close_PChg
KICL,-194.25287356321843,-26.02739726027397,-26.02739726027397,-87.61279737489745,-87.38738738738739,-11.59915980445006,-19.39113170086036,82.49999999999999,82.49999999999999,-29.045401629802093,-29.011627906976727,43.37073261732803,-3974.358974358975,-23.07692307692308,-23.07692307692308,-4505.128205128205,-4748.648648648649,0.015992749953364176,-104.32852386237516,-13.333333333333329,-13.333333333333329,-104.33333333333334,-104.10199556541019,15.256059721667533
VEDL,-97.85902503293808,-18.845994188459944,-33.47381095725467,-67.44778400407539,-54.98799388779743,-14.990102573330946,794.2562592047127,38.76728110599078,11.273806105847447,132.72080616478956,87.82287822878229,-15.77750833585934,44.16135881104034,37.66851704996035,14.647794601711652,91.9226393629124,51.67910447761193,4.980111376292753,1285.2941176470588,-2.0202020202020203,19.277581468394192,-23.498694516971284,-13.315363881401618,26.179482031720532
KEYCORPSER,-119.25925925925928,-141.01382488479263,18.82352941176471,-120.16129032258064,-115.89147286821706,-100.0,938.4615384615383,-848.2758620689655,37.096774193548384,2154.5454545454545,1128.5714285714287,-22.72,-75.47169811320755,3.5714285714285547,-11.428571428571427,-85.33333333333334,-75.29411764705883,-8.223201174743018,-57.25806451612904,-127.45098039215685,6.8702290076335775,-59.67741935483871,-56.41025641025642,0.0
ABMINTLTD,-213.20754716981133,-340.4255319148936,460.13071895424827,-347.72727272727275,-400.0,-11.664779161947902,-453.33333333333337,-376.4705882352941,-63.287342531493685,-393.33333333333326,-280.9523809523809,-11.818558491012766,-134.88372093023256,-136.1702127659575,-46.53624118024374,-134.88372093023256,-156.75675675675674,10.996852046169984,-577.7777777777778,-883.3333333333335,30.953380932381357,-577.7777777777778,-305.5555555555556,-0.029186732545283967
GPPL,-3.0253138505865524,-1.7634408602150546,16.774727548627414,0.6710508656556167,0.7506914263137151,-27.41658066735465,-2.800560112022401,-1.7432646592710044,6.555931206820513,-3.196050409250349,-0.803448951597107,6.483516483516481,13.1507469443187,14.366843885935236,-1.2770280075460678,10.493827160493831,7.4655154259239795,2.170658682634735,-20.682226211849198,-20.162068300212226,5.3669724770642055,-19.384330517301237,-15.844040762073547,-10.635451505016725
FLFL,9.136468774094055,16.95164760502774,31.044184842550717,23.859522085445327,14.6105220228385,6.746328105551412,-31.102257636122168,-15.371346430282696,-18.07822094374066,-28.37136929460581,-15.24369166954718,16.19901648828464,60.96622488242838,18.14990942028986,16.20098564388257,32.07741051549924,22.805900456330253,2.6577579806978435,-0.5527210884353699,3.5040431266846297,-1.3350527995940928,-1.91500083991265,2.893644900633332,5.168644597126798
SARDAEN,-5.565660240087296,31.718387164872297,6.934060753014068,4.304815740841405,4.602671278946869,-6.316536550745207,59.82558139534883,36.35578583765111,3.9596681020901165,58.439545297967605,49.59034066407935,-15.771644913818875,-8.388814913448732,9.039548022598881,0.6909437021891562,-7.709426164361777,-7.817675897707706,20.79672644120834,-38.38201509681654,-12.279735682819386,-8.105218827950365,-36.74208144796381,-32.537767051041385,66.24649859943976
BAYERCROP,-1241.0852713178294,-1509.8159509202453,90.20537124802529,-1335.1063829787233,-2509.0,8.214416608538372,-220.56074766355144,-172.1238938053097,-30.75913366878145,-209.94152046783626,-139.21568627450978,-5.697211599567415,-94.38614900314795,-92.1391304347826,-51.60402329274748,-94.16182997610106,-91.52260638297872,14.99397420446677,70.63563115487914,148.70242214532874,62.173763736263744,136.40032284100081,128.05155420773312,-15.82434897098024
NELCAST,11.197663096397276,12.759170653907509,-5.121071612570837,11.306990881458963,9.251101321585905,-4.562043795620438,-0.09727626459143762,-3.3401849948612643,6.689386027593024,-0.3634161114476212,-0.5355404089581277,-14.553014553014554,2.4925224327018944,8.231368186874306,12.531700377311823,12.773224043715851,9.898341359015504,41.992619926199275,30.59895833333333,17.979002624671914,19.516522510534468,18.542510121457497,15.727554179566582,4.311008468052344
KALPATPOWR,-22.693885338166552,-24.905570164953378,-32.1908621660696,-24.15766684915145,-21.946009816397012,-17.191533298915846,39.34600558287917,37.625847206685535,36.106369527422146,40.138094573859675,34.97730339835602,2.4542473288903044,5.231500909218084,14.357739483783591,16.101329467570714,11.519016877965312,10.439672108935707,28.40260798696005,1.4762242725337005,-3.148458567159844,5.572560491291963,-0.9094412331406604,-0.6394722670974614,13.191881918819199
AUBANK,-7.490366088631999,39.44326391840204,-8.181235450895718,26.106828938471928,16.611223799864778,6.099830110832465,5.220476431829706,3.3195749538947927,25.369031002833825,10.776559410390089,10.776559410390089,-7.311037792441512,15.650644783118414,16.034034748051152,10.470984020185027,13.65044775102999,13.65044775102999,17.270488920154754,10.367135694646604,-8.70738173868552,46.59908212891293,7.63395147694788,7.63395147694788,0.0
QUESS,1.2568416784917993,-5.067520534595574,0.6879043485382107,-8.307442928542491,-5.818528675330881,11.00194552529182,-8.069325382035032,28.153434433541484,12.95395260207574,17.489287414696086,20.815326995102282,-10.930121734609893,-60.005962584780505,20.693367786391047,17.00036797333275,7.5806726993341265,9.789656808476996,38.07273597320255,430.1066772026866,-0.9174311926605498,8.704808291862259,26.41916684653573,24.517526585269785,-9.885726606295822
SUJANAUNI,-190.15630196208846,986.3772455089819,984.9028400597908,606.3829787234042,1183.916083916084,-11.664779161947902,18.31595514459965,461.3445378151261,56.67447306791571,157.99522673031024,-735.5555555555555,-100.0,5.042364124819173,-188.80597014925374,-91.61100196463656,12.032085561497329,-33.333333333333336,-13.63636363636365,24.58805355303809,-112.61770244821092,48.008141901715604,-84.44906444906447,-107.08289611752363,-18.51851851851852
BEML,-185.42809952581382,-157.2013195807408,-41.600781735808845,-163.60538422218437,-152.66236867239732,-22.48826740733646,1024.5656081485918,476.2030798845043,46.841075440249284,699.8637137989779,449.1258741258742,-35.47968484473969,63.627450980392176,23.213756300029665,5.188132699109661,35.691169671752206,22.059215790877555,2.0366341940162016,-111.98167508516389,-153.08467107333962,-5.650172612197942,-129.28513403736798,-164.1842150316727,3.4371433230066883
CINEVISTA,0.0,-108.98617511520737,-50.610583446404355,-6.542056074766361,-8.27067669172933,-24.561403508771928,-100.0,1431.764705882353,321.1428571428571,-190.67796610169486,-262.1951219512195,0.0,-22500.0,-164.39393939393938,-47.0499243570348,-201.72413793103448,-153.9473684210526,10.996852046169984,0.0,-2.222222222222224,-12.681638044914136,2.654867256637171,4.1095890410958935,-100.0
FINCABLES,9.20261787097636,17.638662316476342,21.81492751029175,22.70265133517058,19.943044528822934,-4.6148409893992905,-24.88211096618842,15.906405105176072,-7.400348056683513,-25.925665211882304,-16.812634601579333,30.547098440815567,-2.188420019627089,-23.08671150699872,6.990229283776367,9.69037139989191,-1.436354631005449,18.770545693622626,35.02053796210416,8.812184749282958,-17.492574873077892,25.98249027237354,22.565258867400928,-11.663924111896224
GTNIND,-128.2758620689655,86.06870229007633,-0.6033376123234901,78.3529411764706,49.9236641221374,-32.98153034300791,-36.40350877192982,233.75796178343947,4.214046822742482,-2933.333333333333,232.4873096446701,13.134328358208952,-21.917808219178085,-17.801047120418843,59.14413455397063,-162.50000000000003,-15.811965811965807,-2.0467836257310026,55.319148936170215,-51.3994910941476,-25.44444444444445,-90.20408163265307,-50.31847133757961,-4.999999999999992
MANUGRAPH,-133.98392652123994,35.66878980891718,-13.812225947897868,10.899182561307912,4.892367906066537,-26.847826086956523,-770.0000000000001,35.930735930735935,81.04132617324308,101.64835164835164,56.26911314984711,-19.298245614035086,-180.74534161490683,-178.04054054054055,56.37093829864913,-169.73180076628353,-310.96774193548384,22.977346278317146,-85.78993821712268,-43.833017077798864,-35.65891472868217,-49.122807017543856,-59.102902374670194,-4.432989690721646
CAMLINFINE,336.0655737704918,-28.33333333333334,-17.118390422347858,20.385232744783302,17.791411042944794,-14.271604938271606,-114.91442542787287,-237.68115942028993,-4.653190646056285,-270.2185792349726,-391.0714285714286,-21.4811942613416,122.88828337874659,175.0830564784053,43.25459913695207,-3028.0,-298.42519685039366,58.512599877074365,3.380281690140848,-253.57142857142856,32.800482581812695,-52.83018867924528,-9.608540925266905,-4.124926340601061
