,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1367,RMDRIP,SM,82.7,90.5,80.0,89.15,90.5,78.7,152000,13162400.0,08-MAY-2018,76,INE219Y01018
1368,RML,EQ,888.0,903.0,871.05,876.25,872.25,877.75,12723,11281456.1,08-MAY-2018,794,INE050H01012
1369,RNAM,EQ,248.9,249.7,243.05,247.55,247.55,247.85,27079,6683607.95,08-MAY-2018,1280,INE298J01013
1370,RNAVAL,EQ,18.45,19.25,18.05,18.35,18.35,18.3,7768120,143827209.1,08-MAY-2018,13050,INE542F01012
1371,ROHITFERRO,EQ,2.65,2.65,2.65,2.65,2.65,2.55,6345,16814.25,08-MAY-2018,4,INE248H01012
1372,ROHLTD,EQ,226.05,227.7,219.0,221.95,222.3,225.85,93971,20961827.95,08-MAY-2018,1445,INE283H01019
1373,ROLLT,EQ,4.55,4.55,4.4,4.55,4.5,4.6,6002,27115.6,08-MAY-2018,23,INE927A01040
1374,ROLTA,EQ,58.0,58.2,56.15,56.3,56.4,57.8,643346,36657379.45,08-MAY-2018,8365,INE293A01013
1375,ROSSELLIND,EQ,96.0,97.5,96.0,96.95,96.6,95.8,7677,743254.9,08-MAY-2018,63,INE847C01020
1376,RPGLIFE,EQ,393.05,407.9,383.3,387.2,387.05,393.1,29597,11533668.45,08-MAY-2018,573,INE105J01010
1377,RPOWER,EQ,38.6,39.0,37.6,38.75,38.55,38.65,9039733,347380964.0,08-MAY-2018,15625,INE614G01033
1378,RPPINFRA,EQ,261.1,262.0,249.0,255.2,256.95,261.3,94513,24130070.9,08-MAY-2018,2349,INE324L01013
1379,RRSLGETF,EQ,16.96,17.02,16.96,17.01,17.01,16.93,50,849.44,08-MAY-2018,7,INF204KB1882
1380,RSSOFTWARE,EQ,52.0,52.75,51.1,51.45,51.2,51.65,59449,3083471.7,08-MAY-2018,521,INE165B01029
1381,RSWM,EQ,313.0,318.0,306.25,308.2,307.0,312.05,13858,4313192.3,08-MAY-2018,751,INE611A01016
1382,RSYSTEMS,EQ,37.0,37.5,35.5,35.8,35.85,37.15,22307,808518.05,08-MAY-2018,322,INE411H01032
1383,RTNINFRA,EQ,5.3,5.8,5.3,5.35,5.3,5.3,2697021,14924672.1,08-MAY-2018,1078,INE834M01019
1384,RTNPOWER,EQ,5.0,5.2,4.95,5.0,5.0,5.0,3325480,16826487.15,08-MAY-2018,1750,INE399K01017
1385,RUBYMILLS,EQ,377.2,379.95,368.1,369.2,371.5,375.7,12329,4589137.55,08-MAY-2018,596,INE301D01026
1386,RUCHINFRA,BE,3.5,3.5,3.35,3.5,3.5,3.35,3450,11985.0,08-MAY-2018,6,INE413B01023
1387,RUCHIRA,EQ,162.85,165.3,160.2,160.6,160.6,162.5,32597,5291872.55,08-MAY-2018,574,INE803H01014
1388,RUCHISOYA,EQ,14.15,15.2,12.85,13.0,13.05,14.0,14040123,192912933.45,08-MAY-2018,18054,INE619A01027
